색상명,RGB
Light Blue,"(86, 176, 216)"
Blue,"(0, 83, 122)"
Turquoise,"(0, 146, 148)"
Teal,"(0, 162, 150)"
Mint,"(117, 213, 188)"
Kelly Green,"(0, 118, 62)"
Green,"(0, 130, 75)"
Cactus Green,"(0, 144, 83)"
Bright Green,"(0, 144, 51)"
Leaf Green,"(13, 86, 17)"
Forest Green,"(0, 77, 41)"
Grass Green,"(62, 162, 0)"
Lime,"(130, 200, 48)"
White,"(247, 248, 244)"
White Matt,"(250, 250, 247)"
Light Grey,"(200, 200, 198)"
Mist,"(202, 201, 201)"
Cool Grey,"(140, 143, 146)"
Dove Grey,"(147, 150, 144)"
Medium Grey,"(121, 133, 140)"
Cloud Grey,"(110, 113, 109)"
Grey,"(93, 98, 99)"
Dark Grey,"(77, 78, 77)"
Black,"(19, 18, 19)"
Black Matt,"(59, 59, 58)"
Grey Metallic,"(66, 68, 70)"
Silver Metallic,"(149, 150, 151)"
Gold Metallic,"(159, 140, 85)"
Ivory,"(235, 216, 192)"
Cream,"(243, 223, 159)"
Beige,"(231, 203, 156)"
Dark Beige,"(171, 134, 92)"
Tan,"(178, 131, 76)"
Hazelnut Brown,"(175, 85, 32)"
Chestnut Brown,"(98, 35, 28)"
Dark Burgundy,"(93, 19, 28)"
Chocolate Brown,"(81, 51, 36)"
Brown,"(64, 41, 33)"
Primrose Yellow,"(250, 203, 0)"
Bright Yellow,"(249, 193, 0)"
Sunflower Yellow,"(255, 182, 0)"
Light Yellow,"(255, 183, 0)"
Buttercup Yellow,"(254, 178, 0)"
Chrome Yellow,"(233, 149, 0)"
Morning Orange,"(242, 151, 43)"
Sweet Orange,"(243, 123, 36)"
Light Orange,"(230, 104, 0)"
Dark Orange,"(229, 87, 0)"
Sunrise,"(222, 62, 13)"
Spanish Orange,"(197, 64, 0)"
Medium Red,"(204, 34, 11)"
Signal Red,"(187, 34, 18)"
Cardinal Red,"(181, 30, 23)"
Spicy Red,"(195, 14, 5)"
Soft Red,"(175, 34, 46)"
Geranium Red,"(171, 14, 26)"
Tomato Red,"(165, 33, 34)"
Carmine Red,"(159, 7, 19)"
Dark Red,"(141, 24, 30)"
Burgundy,"(110, 15, 28)"
Rioja Red,"(80, 21, 33)"
Pink,"(192, 49, 100)"
Magenta,"(212, 99, 144)"
Light Purple,"(178, 71, 132)"
Purple,"(103, 39, 96)"
Lilac,"(136, 65, 130)"
Dark Purple,"(80, 43, 79)"
Passion Blue,"(38, 34, 89)"
Sapphire Blue,"(30, 56, 119)"
Midnight Blue,"(24, 56, 122)"
Royal Blue,"(0, 61, 118)"
Empire Blue,"(29, 45, 112)"
Swimming Blue,"(37, 72, 142)"
Cobalt Blue,"(20, 27, 60)"
Indigo Blue,"(14, 33, 60)"
Antique Blue,"(64, 80, 114)"
Airforce Blue,"(54, 90, 111)"
Gentian Blue,"(0, 88, 145)"
Vivid Blue,"(0, 83, 147)"
Cosmos Blue,"(0, 81, 144)"
Sea Blue,"(0, 95, 149)"
Intense Blue,"(0, 115, 181)"
Light Blue,"(0, 148, 201)"
Petrol,"(0, 101, 109)"
Turquoise,"(0, 133, 132)"
Aqua,"(0, 163, 149)"
Caribbean Aqua,"(0, 170, 151)"
Mint,"(117, 215, 188)"
Bottle Green,"(0, 147, 88)"
Meadow Green,"(0, 140, 69)"
Green,"(0, 126, 47)"
Kelly Green,"(0, 121, 57)"
Emerald Green,"(0, 98, 40)"
Golf Green,"(9, 76, 63)"
Dark Green,"(3, 65, 31)"
Light Green,"(87, 156, 55)"
Grass Green,"(105, 171, 39)"
Leaf Green,"(64, 69, 13)"
Springtime Green,"(182, 198, 34)"
Lemon,"(229, 205, 0)"
White,"(250, 251, 247)"
White Matt,"(252, 253, 249)"
Pearl Grey ,"(204, 204, 207)"
Dove Grey,"(170, 168, 165)"
Grey,"(125, 132, 132)"
Gunmetal Grey,"(94, 103, 112)"
Storm Grey,"(77, 79, 79)"
Black,"(25, 24, 23)"
Black Matt,"(58, 58, 58)"
